"","x"
"1064","MAST-11"
"1065","MAST-7"
"1066","MAST-6"
"1067","MAST-23"
"1068","Cnidaria"
"1069","Rotifera"
"1070","Echinodermata"
"1071","Ctenophora"
"1072","SAR"
"1073","Nematozoa"
"1074","Nemertea"
"1075","Chaetognatha"
"1076","Bryozoa"
"1077","Platyhelminthes"
"1078","Nucleariidae and Fonticula group"
"1079","Lophophorata"
"1080","Hemichordata"
"1081","Porifera"
"1082","Pavlovophyceae"
"1083","Pav3"
"1084","Gracilipodida"
"1085","Apusomonadidae"
"1086","Kathablepharidae"
"1087","Ancyromonadida"
"1088","Compsopogonales"
"1089","Florideophycidae"
"1090","Breviatea"
"1091","Crenarchaeota"
"1092","Protosteliida"
"1093","SA1-3C06"
